Product,Brand,Price,Size,Price per Unit,Calories,Fat,,,Cholestrol,Sodium,Carbs,,,Protein,Vitamin D,Calcium,Iron,Potassium
Basmati Rice,Royal,$19.99,20 lb,$1.00/lb,205,0.40g,0.10g,0.10g,0.00mg,1.60mg,45.00g,0.60g,0/1,4.30g,0.00mcg,16.00mg,1.90mg,55.30mg
Beef Chuck Pot Roast (Boneless USDA Choice (sold per lb.)),Kirkland Signature,$5.99,1 lb,$5.99/lb,257,16.00g,6.50g,0.60g,102.00mg,43.00mg,0.00g,0.00g,0.00g,26.00g,0.30mcg,14.00mg,2.20mg,205.70mg
Beef Chuck Short Ribs (Boneless USDA Choice (sold per lb.)),Kirkland Signature,$15.99,1 lb,$15.99/lb,193,15.00g,6.60g,1.10g,66.00mg,72.00mg,0.00g,0.00g,0.00g,15.00g,0.10mcg,10.00mg,1.80mg,232.10mg
Beef Dinner Franks (as served in the Costco Food Court),Kirkland Signature,$13.49,61 oz,$0.22/oz,370,31.00g,12.00g,1.00g,85.00mg,1250.00mg,4.00g,0.00g,6.00g,16.00g,0.00mcg,41.00mg,2.00mg,253.00mg
Beef Flank Steak (USDA Choice (sold per lb.)),Kirkland Signature,$10.99,1 lb,$10.99/lb,163,7.00g,2.90g,0.30g,67.00mg,48.00mg,0.00g,0.00g,0.00g,24.00g,0.00mcg,17.00mg,1.50mg,288.20mg
Beef Franks,Hebrew National,$9.99,(4 Pack) 12 oz,$0.21/oz,45,1.00g,0.50g,0.00g,15.00mg,490.00mg,2.00g,0.00g,0.00g,6.00g,0.00mcg,0.00mg,0.70mg,94.00mg
Beef Inside Skirts (USDA Choice (sold per lb.)),Kirkland Signature,$12.99,1 lb,$12.99/lb,150,5.00g,2.50g,0.00g,65.00mg,60.00mg,0.00g,0.00g,0.00g,25.00g,0%,0%,15%,0%
Beef Loin Flap Meat Steak (USDA Choice (sold per lb.)),Kirkland Signature,$9.79,1 lb,$9.79/lb,225,13.00g,4.90g,0.50g,58.00mg,61.00mg,0.00g,0.00g,0.00g,25.00g,0.00mcg,10.00mg,3.10mg,371.40mg
Beef Loin New York Steak (Boneless USDA Choice (sold per lb.)),Kirkland Signature,$8.99,1 lb,$8.99/lb,224,15.00g,5.90g,0.90g,69.00mg,44.00mg,0.00g,0.00g,0.00g,22.00g,0.10mcg,12.00mg,2.10mg,225.30mg
Beef Loin New York Steak (USDA PRIME - sold per lb.),Kirkland Signature,$19.99,1 lb,$19.99/lb,224,15.00g,5.90g,0.90g,69.00mg,44.00mg,0.00g,0.00g,0.00g,22.00g,0.10mcg,12.00mg,2.10mg,225.30mg
Beef Loin Tenderloin (Whole USDA Choice - sold per lb.),Kirkland Signature,$16.59,1 lb,$16.59/lb,275,21.00g,8.30g,0.80g,72.00mg,48.00mg,0.00g,0.00g,0.00g,20.00g,0.00mcg,7.70mg,2.60mg,281.40mg
Beef Loin Tenderloin (USDA Choice Peeled Extreme (sold by lb.)),Kirkland Signature,$24.99,1 lb,$24.99/lb,275,21.00g,8.30g,0.80g,72.00mg,48.00mg,0.00g,0.00g,0.00g,20.00g,0.00mcg,7.70mg,2.60mg,281.40mg
Beef Loin Tenderloin (Steak Filet Mignon (sold by lb.)),Kirkland Signature,$19.99,1 lb,$19.99/lb,275,21.00g,8.30g,0.80g,72.00mg,48.00mg,0.00g,0.00g,0.00g,20.00g,0.00mcg,7.70mg,2.60mg,281.40mg
Beef Loin Tenderloin Steak (USDA PRIME - sold per lb.),Kirkland Signature,$28.99,1 lb,$28.99/lb,275,21.00g,8.30g,0.80g,72.00mg,48.00mg,0.00g,0.00g,0.00g,20.00g,0.00mcg,7.70mg,2.60mg,281.40mg
Beef Loin Top Loin (Whole (New York) Vacuum Package (sold per lb.)),Kirkland Signature,$8.19,1 lb,$8.19/lb,224,14.00g,5.60g,0.50g,75.00mg,46.00mg,0.00g,0.00g,0.00g,22.00g,0.30mcg,16.00mg,1.40mg,278.80mg
Beef Loin Top Sirloin (Steak BNLS Cap Off Prime (sold by lb.)),Kirkland Signature,$10.99,1 lb,$10.99/lb,207,12.00g,4.80g,0.50g,78.00mg,84.00mg,0.00g,0.00g,0.00g,23.00g,0.20mcg,17.00mg,1.50mg,285.60mg
Beef Loin Top Sirloin (Cap Bnls Whole USDA Choice (sold per lb.)),Kirkland Signature,$5.99,1 lb,$5.99/lb,207,12.00g,4.80g,0.50g,78.00mg,84.00mg,0.00g,0.00g,0.00g,23.00g,0.20mcg,17.00mg,1.50mg,285.60mg
